Wall time,Step,Value;;;;;Average Reward of the last 50 Episodes:
1612189127.2342672,1804,-1.5022540092468262;;;;;
1612189127.9082382,1806,-1.43901789188385;;;;;
1612189129.9239378,1812,-1.5056720972061157;;;;;
1612189130.5562289,1814,-1.5906347036361694;;;;;
1612189131.187387,1816,-1.5180517435073853;;;;;
1612189131.8077679,1818,-1.3972523212432861;;;;;
1612189133.0813463,1822,-1.4997658729553223;;;;;
1612189137.102987,1834,-1.431325912475586;;;;;
1612189137.7408576,1836,-1.5295848846435547;;;;;
1612189138.3723955,1838,-1.4142333269119263;;;;;
1612189139.7339656,1842,-1.4132404327392578;;;;;
1612189142.4297605,1850,-1.5450687408447266;;;;;
1612189144.4478688,1856,-1.5707379579544067;;;;;
1612189146.3727345,1862,-1.4661372900009155;;;;;
1612189148.8953164,1870,-1.4589550495147705;;;;;
1612189150.9796941,1876,-1.4158525466918945;;;;;
1612189151.6963346,1878,-1.4868956804275513;;;;;
1612189152.33762,1880,-1.3963205814361572;;;;;
1612189153.6486988,1884,-1.376316785812378;;;;;
1612189154.2721565,1886,-1.367576241493225;;;;;
1612189154.89802,1888,-1.4548213481903076;;;;;
1612189156.217533,1892,-1.389475703239441;;;;;
1612189156.8846562,1894,-1.5233497619628906;;;;;
1612189157.5199604,1896,-1.3624058961868286;;;;;
1612189158.259979,1898,-1.421515941619873;;;;;
1612189158.8930418,1900,-1.357802152633667;;;;;
1612189160.1624913,1904,-1.44081449508667;;;;;
1612189160.875127,1906,-1.5390651226043701;;;;;
1612189162.1567693,1910,-1.3407371044158936;;;;;
1612189163.4231327,1914,-1.3982656002044678;;;;;
1612189164.0524497,1916,-1.380035638809204;;;;;
1612189165.3312247,1920,-1.5684157609939575;;;;;
1612189166.6567254,1924,-1.535790205001831;;;;;
1612189167.293489,1926,-1.4966009855270386;;;;;
1612189167.930492,1928,-1.5407174825668335;;;;;
1612189168.5771987,1930,-1.3748472929000854;;;;;
1612189170.5078967,1936,-1.458177089691162;;;;;
