Wall time,Step,Value;;;;;"Average Reward; Last 50 Episodes:"
1612186966.7853682,2799,-1.11187744140625;;;;;
1612186969.0353546,2808,-1.1164076328277588;;;;;
1612186969.0353546,2809,-2.4615001678466797;;;;;
1612186969.914037,2813,-1.0678271055221558;;;;;
1612186970.5673232,2815,-1.426902413368225;;;;;
1612186973.268745,2826,-1.1992154121398926;;;;;
1612186973.7315083,2828,-1.0716496706008911;;;;;
1612186975.621386,2839,-1.004603624343872;;;;;
1612186976.0771687,2841,-1.0519487857818604;;;;;
1612186979.5678933,2858,-3.1548924446105957;;;;;
1612186980.9638877,2866,-1.0471932888031006;;;;;
1612186981.5692692,2870,-0.9978703260421753;;;;;
1612186983.093393,2878,-1.0967713594436646;;;;;
1612186986.0892847,2895,-2.446812152862549;;;;;
1612186986.8052182,2898,-1.0458277463912964;;;;;
1612186987.6744523,2902,-2.447477340698242;;;;;
